Experience;Complexity;Quality
1.72287697;4.600602612;5.980389918
5.961742898;4.962609901;11.70053385
2.846869904;1.157335809;2.167970164
2.673053245;5.390372876;8.575964222
5.136766389;3.860893808;9.963476763
2.132178663;5.444342229;7.637390142
4.906378381;4.327792082;10.2599743
1.352626712;1.141006277;1.125640023
3.144253203;4.765588258;8.746040334
2.595661398;3.165771591;6.136976203
3.663848109;1.537841892;4.498191525
5.534987276;1.169565132;5.101110435
2.265245207;3.313063558;5.743149921
5.030462591;1.359218619;5.338672429
3.58116681;4.741897453;9.28946713
5.471198636;2.457227251;8.274978098
5.831809069;2.346039745;8.351086666
3.778286378;5.423857462;10.10573145
5.671019474;3.447902538;9.901861241
1.193523039;2.558211505;1.83737259
5.670601602;5.52179151;11.94679145
5.922895253;3.724739407;10.4259995
5.760038606;2.30537271;8.221365466
4.552207391;3.487821222;8.997462597
1.115684227;3.374462005;2.747158401
5.907126888;1.879426353;7.443716164
4.576478415;4.654678384;10.27391101
5.691051082;1.373488034;5.919873681
2.652502122;5.520260312;8.64585302
2.801583158;2.395515443;5.257724971
5.588194006;5.713351837;12.03132449
3.700036798;2.357097525;6.395535994
5.743809011;3.306323333;9.77515317
1.588273132;5.772336009;6.612467971
3.76670727;2.325199247;6.413920483
1.4333055;4.486877887;5.072530219
5.638319124;3.454023373;9.884449293
2.072490486;3.430100138;5.507693489
3.703140168;4.447999339;9.157048692
5.730757037;2.587132732;8.700007113
5.212867492;3.497502939;9.59804778
2.286207407;2.079788165;3.761047345
3.751797176;1.805569495;5.298235653
1.531557385;4.344099451;5.220030373
3.148859567;3.068217881;6.840094933
1.49626555;2.397050204;2.536558112
2.127177768;4.379981052;6.682460214
4.617833921;5.096214346;10.70656
4.993791945;2.326269732;7.640605187
1.180645953;3.113405038;2.64325311
1.13020032;3.669704533;3.167565285
4.976839848;5.067065593;11.00680196
4.908624937;1.089309347;4.27081084
4.586098427;1.888017719;6.364194414
1.929418838;4.889466468;6.736579909
5.019869309;1.029315653;4.12210992
1.151788468;2.459792195;1.512411494
5.730412396;4.573336926;11.1738908
4.573013356;3.53759877;9.078810483
1.146203981;3.637874027;3.190795731
